key,counts,ststa_ucount,ensta_ucount,br,ut_sub,ut_cu,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2014 6 17,35097,326,324,1975.7252291305424,32296,2801,33,3.5593749999999993,6.7,16019.46875,16093.0,22.92187500000001,27.2,0.0,0.0
2017 7 26,70323,611,612,1979.0521170106938,63599,6724,38,3.754054054054052,5.7,16072.891891891892,16093.0,20.791891891891886,23.9,0.0,0.0
2014 1 4,2292,306,308,1975.8329650905878,2263,29,33,3.0906249999999997,7.2,16069.75,16093.0,-9.23125,-2.8,0.2269230769230769,5.6
2014 5 28,29690,321,319,1975.3586430891376,27714,1976,37,4.841666666666663,9.8,16072.333333333334,16093.0,16.66388888888888,27.2,0.0,0.0
2014 5 29,33889,323,322,1975.4823635718205,30989,2900,34,4.460606060606058,6.7,16070.454545454546,16093.0,13.38787878787879,16.1,0.0,0.0
2014 8 19,35367,323,321,1976.1798356706,32376,2991,35,3.173529411764705,5.1,16071.117647058823,16093.0,22.16176470588235,25.6,0.0,0.0
2016 10 11,58768,600,598,1977.9171137289604,54162,4042,33,3.0312499999999987,5.7,16069.75,16093.0,12.031250000000004,17.2,0.0,0.0
2014 2 12,8580,319,319,1974.8505976095616,8534,46,33,4.240624999999997,7.7,16069.75,16093.0,-7.171875000000001,-4.4,0.0,0.0
2014 2 13,876,260,266,1976.0813287514318,873,3,48,8.927659574468084,15.4,6174.04255319149,16093.0,-0.5297872340425526,2.2,1.5511627906976744,15.0
2016 11 28,42091,595,596,1977.2712032536456,40490,1413,33,3.5906249999999984,6.2,16069.75,16093.0,7.378125000000002,10.6,0.0,0.0
2017 11 9,58417,731,735,1978.6942072675415,55618,2799,35,2.641176470588235,4.6,16071.117647058823,16093.0,8.197058823529412,12.2,0.0,0.0
2014 4 5,18655,324,323,1976.9586838198911,16168,2487,41,6.030000000000002,11.8,11848.525,16093.0,8.0875,13.3,0.16363636363636364,2.5
2014 4 12,27108,327,327,1977.4472998137803,21480,5628,33,4.2250000000000005,8.2,16069.75,16093.0,14.7625,19.4,0.0,0.0
2014 4 18,20770,325,325,1975.9018659658345,19025,1745,35,3.1588235294117624,5.7,16071.117647058823,16093.0,4.470588235294117,7.2,0.0,0.0
2017 3 2,35739,600,598,1977.50906133829,34511,1006,33,11.053125000000001,15.4,15944.75,16093.0,10.959374999999996,16.1,0.022222222222222223,0.3
2017 5 17,65794,602,603,1978.2377885663332,60027,5767,33,4.315625,8.8,16069.75,16093.0,19.321874999999995,25.0,0.0,0.0
2017 12 6,46335,724,727,1978.2630850921423,45167,1168,43,7.4880952380952355,13.9,12046.92857142857,16093.0,9.785714285714294,13.9,0.8444444444444446,8.0
2014 8 13,27977,324,323,1976.3071930773392,25886,2091,49,6.295833333333333,11.8,11814.375,16093.0,23.34583333333333,28.3,6.251219512195121,68.0
2016 12 24,8014,578,578,1975.2987133572092,7532,401,43,4.32380952380952,6.2,12251.642857142857,16093.0,5.795238095238095,8.0,1.3,15.0
2014 2 15,2261,294,290,1975.5164934478084,2213,48,44,6.020930232558141,10.8,9755.883720930233,16093.0,0.9930232558139537,3.9,0.22499999999999998,3.3
2014 3 1,9202,326,327,1975.920478291154,8614,588,33,2.4375,5.1,16069.75,16093.0,-3.4281250000000014,2.2,0.0,0.0
