key,counts,addr_ucount,ky_ucount,pd_ucount,law_f,law_m,law_v,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2014 6 17,1429,77,39,145,477,754,198,33,3.5593749999999993,6.7,16019.46875,16093.0,22.92187500000001,27.2,0.0,0.0
2014 9 13,1347,77,38,138,418,769,160,41,4.812499999999998,8.2,14656.2,16093.0,18.487499999999994,21.7,0.6064516129032258,6.0
2014 12 31,927,77,35,118,325,469,133,33,4.3,8.2,16069.75,16093.0,-0.93125,1.1,0.0,0.0
2015 5 9,1332,77,41,143,427,725,180,58,3.23272727272727,5.1,2827.7454545454543,16093.0,15.923636363636373,17.8,0.046875,0.5
2016 6 16,1419,77,37,136,408,793,218,33,2.090625,5.1,15762.625,16093.0,20.531250000000004,22.2,0.09666666666666665,0.8
2014 1 4,1050,76,41,126,301,621,128,33,3.0906249999999997,7.2,16069.75,16093.0,-9.23125,-2.8,0.2269230769230769,5.6
2014 5 28,1509,76,43,146,426,829,254,37,4.841666666666663,9.8,16072.333333333334,16093.0,16.66388888888888,27.2,0.0,0.0
2014 5 29,1423,77,45,151,418,781,224,34,4.460606060606058,6.7,16070.454545454546,16093.0,13.38787878787879,16.1,0.0,0.0
2014 8 19,1424,77,40,143,430,823,171,35,3.173529411764705,5.1,16071.117647058823,16093.0,22.16176470588235,25.6,0.0,0.0
2015 8 6,1456,76,43,151,456,801,199,33,4.003124999999999,7.2,16069.75,16093.0,25.190625000000004,28.9,0.0,0.0
2015 12 19,1248,76,38,128,430,663,155,33,9.015625000000005,10.8,16069.75,16093.0,3.9312500000000012,6.1,0.022222222222222223,0.3
2016 6 1,1809,76,39,147,538,1039,232,33,3.756250000000001,9.3,16069.75,16093.0,22.74375,29.4,0.0,0.0
2016 8 7,1334,77,38,139,426,722,186,33,4.490624999999998,6.7,16069.75,16093.0,27.15000000000001,31.7,0.184,4.6
2016 10 11,1255,76,38,133,383,697,175,33,3.0312499999999987,5.7,16069.75,16093.0,12.031250000000004,17.2,0.0,0.0
2014 2 12,1276,76,44,139,383,738,155,33,4.240624999999997,7.7,16069.75,16093.0,-7.171875000000001,-4.4,0.0,0.0
2014 2 13,879,76,39,129,266,485,128,48,8.927659574468084,15.4,6174.04255319149,16093.0,-0.5297872340425526,2.2,1.5511627906976744,15.0
2014 11 4,1336,77,40,142,431,743,162,33,4.634374999999997,6.7,16069.75,16093.0,14.134375,19.4,0.0,0.0
2014 11 30,1212,76,40,127,382,657,173,33,4.9125,8.2,16069.75,16093.0,8.93125,11.1,0.0,0.0
2015 10 12,1210,76,42,132,399,651,160,33,3.9562499999999994,7.2,16069.75,16093.0,16.837500000000002,21.7,0.0,0.0
2016 11 28,1159,76,39,135,382,604,173,33,3.5906249999999984,6.2,16069.75,16093.0,7.378125000000002,10.6,0.0,0.0
2014 4 5,1396,76,40,138,429,815,152,41,6.030000000000002,11.8,11848.525,16093.0,8.0875,13.3,0.16363636363636364,2.5
2014 4 12,1444,77,44,136,456,830,158,33,4.2250000000000005,8.2,16069.75,16093.0,14.7625,19.4,0.0,0.0
2014 4 18,1438,76,41,141,420,860,158,35,3.1588235294117624,5.7,16071.117647058823,16093.0,4.470588235294117,7.2,0.0,0.0
2014 10 6,1327,77,40,130,400,756,171,34,5.127272727272729,10.3,16070.454545454546,16093.0,14.678787878787883,21.1,0.0,0.0
2015 6 3,1328,77,42,148,410,747,171,40,3.6923076923076903,5.7,16073.923076923076,16093.0,13.971794871794872,19.4,0.4735294117647058,8.6
2015 7 24,1501,77,43,151,477,832,192,33,3.5624999999999987,5.7,16069.75,16093.0,25.693749999999998,30.6,0.0,0.0
2016 6 22,1459,77,41,150,412,805,242,34,4.248484848484848,10.3,16070.454545454546,16093.0,26.957575757575757,33.3,0.0,0.0
2016 7 19,1347,77,42,143,435,750,162,33,6.178125,9.3,16069.75,16093.0,26.49374999999999,28.9,0.4896551724137931,5.0
2014 8 13,1387,77,38,142,395,795,197,49,6.295833333333333,11.8,11814.375,16093.0,23.34583333333333,28.3,6.251219512195121,68.0
2014 9 11,1472,76,43,147,431,842,199,37,5.227777777777776,8.2,16072.333333333334,16093.0,23.091666666666672,27.8,0.0,0.0
2015 3 16,1210,77,38,131,363,653,194,33,5.540624999999997,10.8,16069.75,16093.0,4.918749999999999,9.4,0.0,0.0
2015 10 25,1251,77,37,125,391,689,171,36,6.068571428571428,9.8,15887.828571428572,16093.0,16.06857142857143,21.1,0.034482758620689655,0.5
2016 9 22,1368,76,38,143,412,746,210,33,2.7374999999999994,5.7,16069.75,16093.0,22.646875,27.8,0.0,0.0
2016 12 24,979,77,34,113,324,521,134,43,4.32380952380952,6.2,12251.642857142857,16093.0,5.795238095238095,8.0,1.3,15.0
2014 2 15,1276,77,41,133,390,759,127,44,6.020930232558141,10.8,9755.883720930233,16093.0,0.9930232558139537,3.9,0.22499999999999998,3.3
2014 3 1,1670,77,43,151,491,1001,178,33,2.4375,5.1,16069.75,16093.0,-3.4281250000000014,2.2,0.0,0.0
2015 5 16,1338,77,39,139,382,800,156,35,3.070588235294115,9.3,15692.470588235294,16093.0,16.961764705882352,20.6,0.5735294117647058,5.0
2016 2 14,886,76,34,121,259,511,116,33,8.24375,13.9,16069.75,16093.0,-12.993749999999997,-8.3,1.1111111111111112,18.0
2014 2 18,1201,76,41,132,362,699,140,45,3.236363636363635,9.3,11151.15909090909,16093.0,0.42727272727272747,4.4,0.3914285714285714,3.0
2014 3 25,1285,77,43,138,374,747,164,33,3.4093749999999994,6.2,16069.75,16093.0,-0.25625,3.3,0.0,0.0
2014 7 4,1440,77,41,144,420,839,181,44,5.713953488372092,13.9,14655.720930232557,16093.0,22.14651162790697,25.0,2.0777777777777775,8.9
2014 8 11,1395,77,40,140,426,764,205,33,3.19375,5.7,16069.75,16093.0,24.55625,28.9,0.0,0.0
2015 5 29,1458,77,41,148,473,789,196,33,3.431249999999999,6.7,16069.75,16093.0,21.837500000000002,26.1,0.0,0.0
2015 11 28,1255,76,39,137,418,687,150,35,3.555882352941175,5.7,16071.117647058823,16093.0,12.541176470588237,17.2,0.03214285714285714,0.3
2016 8 29,1295,76,41,130,427,666,202,33,4.371874999999999,6.2,16069.75,16093.0,27.090625000000006,34.4,0.0,0.0
2016 9 19,1061,77,36,132,346,553,162,47,3.2304347826086937,7.7,12869.239130434782,16093.0,22.3217391304348,23.9,2.09,24.0
2014 7 13,1350,77,41,142,429,723,198,34,6.469696969696971,11.8,15794.818181818182,16093.0,22.82424242424242,26.1,0.0,0.0
2015 9 13,1246,76,39,141,413,667,166,37,5.863888888888885,9.8,16072.333333333334,16093.0,22.436111111111114,25.0,0.49393939393939396,7.0
2016 1 7,1223,76,39,144,375,689,159,35,2.2794117647058822,5.1,16073.85294117647,16093.0,3.0588235294117645,7.2,0.0,0.0
2016 3 27,1062,76,36,107,287,606,169,37,3.913888888888889,6.7,16072.333333333334,16093.0,6.741666666666665,9.4,0.0,0.0
2016 5 16,1335,77,35,136,411,719,205,33,9.221875000000006,11.3,16069.75,16093.0,11.849999999999998,20.0,0.0,0.0
2016 12 19,1019,76,39,122,295,570,154,33,6.553124999999996,11.3,16069.75,16093.0,-0.59375,5.0,0.05925925925925926,1.3
2014 7 6,1354,77,43,139,437,727,190,32,5.551612903225806,9.8,16072.0,16093.0,23.96129032258065,27.2,0.0,0.0
2015 2 3,952,76,38,127,319,510,123,34,7.990909090909085,13.4,15814.818181818182,16093.0,-6.84848484848485,-3.9,1.6259259259259258,30.0
2016 3 25,1333,76,40,149,434,730,169,40,4.930769230769229,8.2,10275.205128205129,16093.0,11.410256410256405,20.0,0.0,0.0
2016 5 6,1406,76,43,154,462,769,175,41,6.769999999999999,11.8,13401.25,16093.0,10.212500000000002,12.2,1.521875,13.0
2016 5 25,1428,77,41,144,432,797,199,34,3.5000000000000004,7.7,16070.454545454546,16093.0,21.9030303030303,30.0,0.32962962962962966,8.6
2016 9 12,1198,77,38,131,350,667,181,33,4.687499999999997,7.2,16069.75,16093.0,21.284374999999994,25.6,0.0,0.0
2014 11 7,1444,77,40,140,486,801,157,37,6.563888888888891,10.3,15816.277777777777,16093.0,10.163888888888888,12.2,0.7000000000000001,10.9
2015 11 9,1232,77,42,135,412,661,159,33,1.1656250000000004,3.6,16069.75,16093.0,9.912500000000003,15.0,0.0,0.0
2016 1 4,1091,76,36,131,362,570,159,33,7.543750000000001,10.8,16069.75,16093.0,0.74375,5.6,0.0,0.0
2016 4 15,1458,76,40,137,463,816,179,33,2.953124999999999,6.2,16069.75,16093.0,9.068750000000001,13.9,0.0,0.0
2014 7 2,1427,77,43,143,456,775,196,38,5.95945945945946,11.3,16072.891891891892,16093.0,25.391891891891884,29.4,0.019230769230769232,0.3
2016 12 14,1208,76,40,144,384,653,171,32,4.883870967741935,8.8,16020.09677419355,16093.0,5.154838709677419,7.2,0.0,0.0
2014 1 11,1351,77,41,137,438,774,139,61,6.328333333333337,11.3,2839.25,16093.0,8.328333333333335,12.0,1.0446428571428572,6.6
2014 8 20,1511,77,42,155,453,861,197,33,2.203125,4.6,16069.75,16093.0,22.978125000000002,26.1,0.0,0.0
2014 10 13,1190,77,39,137,349,684,157,36,2.317142857142857,6.2,15244.114285714286,16093.0,14.17714285714286,18.3,0.011111111111111112,0.3
2014 11 10,1345,77,41,135,416,743,186,33,1.9968750000000006,4.6,16019.46875,16093.0,9.578125,14.4,0.0,0.0
